frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
14,1555102794,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.0398554,0.666288,0.696527,-0.263291,0.10008,-0.0663556,-0.111957,1,0.599963,0.00675132,0.599473,0.00362807,0.131252,0.190218,0.912927,0.336384,-34.897,-101.001,-35.1208,0.076355,0.769968,-0.598717,0.207021,20.1668,-134.996,-3.48032,0.114628,-11.7808,-2.59872,0,0,0
15,1555102813,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.0136293,0.6618,0.697079,-0.275529,0.100097,-0.0663281,-0.112018,1,0.599963,0.00634962,0.599473,0.00402976,0.132686,0.189911,0.912397,0.33743,-35.1561,-101.011,-35.4698,0.076428,0.770354,-0.598212,0.207018,20.1668,-134.996,-3.48032,0.537039,-11.7658,-2.02984,0,0,0
16,1555102820,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.0136293,0.6618,0.697079,-0.275529,0.100097,-0.0663281,-0.112018,1,0.599963,0.00634962,0.599473,0.00402976,0.132361,0.189654,0.911871,0.339122,-35.2493,-100.965,-35.7793,0.076428,0.770354,-0.598212,0.207018,20.1668,-134.996,-3.48032,0.688912,-11.8401,-1.52546,0,0,0
17,1555102849,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.03868,0.650574,0.695039,-0.303608,0.100119,-0.0662723,-0.112114,1,0.599963,0.00638979,0.599636,0.00394942,0.127353,0.191071,0.911001,0.342565,-35.1864,-100.994,-36.8868,0.076428,0.770354,-0.598212,0.207018,20.1668,-134.996,-3.48032,0.586422,-11.7924,0.279901,0,0,0
18,1555102864,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.03868,0.650574,0.695039,-0.303608,0.100119,-0.0662723,-0.112114,1,0.599963,0.00638979,0.599636,0.00394942,0.124021,0.191455,0.911375,0.342577,-35.0623,-101,-37.1348,0.076428,0.770354,-0.598212,0.207018,20.1668,-134.996,-3.48032,0.384002,-11.7828,0.684081,0,0,0
19,1555102874,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.0683433,0.642671,0.69212,-0.321361,0.100127,-0.0662404,-0.112156,1,0.599963,0.00687182,0.599309,0.00435112,0.12122,0.192472,0.91161,0.342385,-34.9282,-101.111,-37.204,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,0.165566,-11.6022,0.796831,0,0,0
20,1555102896,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.113264,0.628347,0.685245,-0.350416,0.100131,-0.0661919,-0.112205,1,0.599963,0.00667098,0.598983,0.00475282,0.116871,0.194106,0.912035,0.341843,-34.8519,-101.326,-37.0565,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,0.0411567,-11.2518,0.556395,0,0,0
21,1555102915,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.12483,0.624155,0.682988,-0.358294,0.100131,-0.0661794,-0.112215,1,0.599963,0.00731369,0.598983,0.00515451,0.116532,0.193842,0.912143,0.341821,-34.9199,-101.325,-37.0183,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,0.151905,-11.2537,0.494197,0,0,0
22,1555102941,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.159233,0.610051,0.675738,-0.381917,0.100129,-0.0661401,-0.112241,1,0.599963,0.00630945,0.598819,0.00652028,0.11643,0.193769,0.912537,0.340843,-35.5463,-101.258,-36.6274,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,1.17294,-11.3627,-0.143019,0,0,0
23,1555102970,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.168778,0.599968,0.685839,-0.375736,0.100121,-0.0660914,-0.112262,1,0.599963,0.00663081,0.599473,0.00463231,0.115522,0.194086,0.913161,0.339298,-35.7705,-101.24,-36.0128,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,1.53845,-11.3922,-1.14482,0,0,0
24,1555102985,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.174885,0.593349,0.692257,-0.371661,0.100114,-0.0660593,-0.11227,1,0.599963,0.00755471,0.599473,0.00354773,0.115534,0.194538,0.913161,0.339033,-35.7727,-101.233,-35.7883,0.0759723,0.7701,-0.598765,0.206529,20.1668,-134.996,-3.48032,1.54201,-11.4032,-1.51066,0,0,0
25,1555102995,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.178367,0.58951,0.695904,-0.369297,0.100108,-0.0660396,-0.112272,1,0.599963,0.00727352,0.599636,0.00366824,0.114875,0.194443,0.913371,0.338746,-35.7464,-101.23,-35.6688,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,1.49921,-11.4089,-1.70557,0,0,0
