frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
14,1516393565,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00618894,0.599309,0.00101704,0.00304116,-0.155773,0.978135,0.137762,-19.8485,-62.6665,23.2765,0.368287,0.0831562,0.920453,0.101073,-50.1819,-58.542,31.946,-1.56455,0.422905,-0.268967,1.07837,26.7858,12.637
15,1516393568,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00554623,0.599309,0.00109738,0.00304116,-0.155773,0.978135,0.137762,-19.8485,-62.6665,23.2765,0.368287,0.0831562,0.920453,0.101073,-50.1819,-58.542,31.946,-1.56455,0.422905,-0.268967,1.07837,26.7858,12.637
16,1516393595,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00594792,0.599309,0.000896532,0.00386747,-0.155713,0.978132,0.13783,-19.9273,-62.6665,23.2683,0.368287,0.0831562,0.920453,0.101073,-50.1819,-58.542,31.946,-1.40696,0.422905,-0.252613,1.07837,26.7858,12.637
17,1516393599,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00687182,0.599309,0.00117772,0.00386747,-0.155713,0.978132,0.13783,-19.9273,-62.6665,23.2683,0.368284,0.0829845,0.920537,0.100463,-50.1819,-58.542,31.946,-1.40696,0.422905,-0.252613,1.07837,26.7858,12.637
18,1516393609,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00663081,0.599309,0.000976871,0.00386747,-0.155713,0.978132,0.13783,-19.9273,-62.6665,23.2683,0.368284,0.0829845,0.920537,0.100463,-50.1819,-58.542,31.946,-1.40696,0.422905,-0.252613,1.07837,26.7858,12.637
19,1516393632,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00642996,0.599309,0.0013384,0.00366636,-0.155685,0.978132,0.137862,-19.8485,-62.6665,23.2765,0.368284,0.0829845,0.920537,0.100463,-50.1819,-58.542,31.946,-1.56455,0.422905,-0.268967,1.07837,26.7858,12.637
20,1516393637,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00675132,0.599309,0.000896532,0.00366636,-0.155685,0.978132,0.137862,-19.8485,-62.6665,23.2765,0.368284,0.0829845,0.920537,0.100463,-50.1819,-58.542,31.946,-1.56455,0.422905,-0.268967,1.07837,26.7858,12.637
21,1516393643,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00675132,0.599309,0.000896532,0.00366636,-0.155685,0.978132,0.137862,-19.8485,-62.6665,23.2765,0.367829,0.0833953,0.920692,0.10037,-50.1819,-58.542,31.946,-1.56455,0.422905,-0.268967,1.07837,26.7858,12.637
22,1516393661,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00642996,0.599309,0.00117772,0.00352276,-0.155412,0.978253,0.137318,-19.7697,-62.6665,23.2847,0.368306,0.0829573,0.920552,0.100263,-50.1928,-58.511,31.9893,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
23,1516393669,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00590775,0.599309,0.000695683,0.00332163,-0.155383,0.978253,0.13735,-19.6909,-62.6665,23.2928,0.368116,0.0829779,0.920628,0.100245,-50.1104,-58.511,32.01,-1.87975,0.422905,-0.301483,1.07837,26.7858,12.637
24,1516393681,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.0065103,0.599309,0.00101704,0.00312051,-0.155355,0.978254,0.137382,-19.6121,-62.6665,23.3008,0.367661,0.0833888,0.920783,0.100153,-50.1104,-58.511,32.01,-2.03736,0.422905,-0.317646,1.07837,26.7858,12.637
25,1516393689,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00667098,0.599309,0.000695683,0.00291938,-0.155327,0.978255,0.137414,-19.5333,-62.6665,23.3089,0.367682,0.0833616,0.920798,0.099953,-50.1212,-58.48,32.0533,-2.19498,0.422905,-0.33374,1.07837,26.7858,12.637
26,1516393712,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00647013,0.599309,0.00141874,0.00237334,-0.154998,0.978376,0.136934,-19.2968,-62.6665,23.3328,0.367682,0.0833616,0.920798,0.099953,-50.1212,-58.48,32.0533,-2.3526,0.422905,-0.349773,1.07837,26.7858,12.637
27,1516393720,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00647013,0.599309,0.00141874,0.00237334,-0.154998,0.978376,0.136934,-19.2968,-62.6665,23.3328,0.367682,0.0833616,0.920798,0.099953,-50.1212,-58.48,32.0533,-2.66787,0.422905,-0.381641,1.07837,26.7858,12.637
28,1516393731,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00626928,0.599309,0.00129823,0.00217219,-0.15497,0.978376,0.136966,-19.218,-62.6665,23.3408,0.368138,0.0829506,0.920644,0.100045,-50.1212,-58.48,32.0533,-2.82551,0.422905,-0.39748,1.07837,26.7858,12.637
29,1516393752,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00659064,0.599309,0.00153925,0.00222951,-0.154726,0.978495,0.13639,-19.218,-62.6665,23.3408,0.368141,0.0831224,0.92056,0.100655,-50.1212,-58.48,32.0533,-2.82551,0.422905,-0.39748,1.07837,26.7858,12.637
30,1516393760,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00634962,0.599309,0.00113755,0.00222951,-0.154726,0.978495,0.13639,-19.218,-62.6665,23.3408,0.367686,0.0835337,0.920715,0.100563,-50.1212,-58.48,32.0533,-2.82551,0.422905,-0.39748,1.07837,26.7858,12.637
31,1516393783,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00655047,0.599309,0.00109738,0.00160407,-0.154813,0.978496,0.136291,-19.218,-62.6665,23.3408,0.368141,0.0831224,0.92056,0.100655,-50.1212,-58.48,32.0533,-2.82551,0.422905,-0.39748,1.07837,26.7858,12.637
32,1516393790,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00655047,0.599309,0.00109738,0.00160407,-0.154813,0.978496,0.136291,-19.218,-62.6665,23.3408,0.36833,0.0831017,0.920485,0.100672,-50.2036,-58.48,32.0326,-2.82551,0.422905,-0.39748,1.07837,26.7858,12.637
33,1516393801,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00667098,0.599309,0.00125806,0.00231539,-0.154501,0.978583,0.136013,-19.2132,-62.6922,23.2931,0.368333,0.0832733,0.920401,0.101282,-50.2036,-58.48,32.0326,-2.83506,0.474281,-0.302193,1.07837,26.7858,12.637
34,1516393811,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00687182,0.599309,0.00101704,0.00225811,-0.154745,0.978464,0.136589,-19.2132,-62.6922,23.2931,0.367875,0.083513,0.92064,0.10058,-50.2036,-58.48,32.0326,-2.83506,0.474281,-0.302193,1.07837,26.7858,12.637
35,1516393834,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00622911,0.599309,0.00129823,0.00296472,-0.155145,0.97842,0.136441,-19.292,-62.6922,23.2852,0.36833,0.0831017,0.920485,0.100672,-50.2036,-58.48,32.0326,-2.67746,0.474281,-0.286362,1.07837,26.7858,12.637
36,1516393841,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00671115,0.599309,0.00141874,0.00233932,-0.155232,0.978421,0.136342,-19.292,-62.6922,23.2852,0.36833,0.0831017,0.920485,0.100672,-50.2036,-58.48,32.0326,-2.67746,0.474281,-0.286362,1.07837,26.7858,12.637
37,1516393850,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00618894,0.599309,0.00117772,0.00296472,-0.155145,0.97842,0.136441,-19.292,-62.6922,23.2852,0.36833,0.0831017,0.920485,0.100672,-50.2036,-58.48,32.0326,-2.67746,0.474281,-0.286362,1.07837,26.7858,12.637
38,1516393873,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00630945,0.599309,0.00109738,0.00387246,-0.155572,0.978374,0.136261,-19.4496,-62.6922,23.2693,0.368516,0.0829095,0.920492,0.100079,-50.286,-58.48,32.012,-2.36227,0.474281,-0.254501,1.07837,26.7858,12.637
39,1516393879,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00606843,0.599309,0.00121789,0.00387246,-0.155572,0.978374,0.136261,-19.4496,-62.6922,23.2693,0.368705,0.0828889,0.920416,0.100096,-50.3684,-58.48,31.9913,-2.36227,0.474281,-0.254501,1.07837,26.7858,12.637
40,1516393901,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,1,0.599963,0.00622911,0.599309,0.00145891,0.00457902,-0.155971,0.978328,0.136112,-19.5284,-62.6922,23.2613,0.368705,0.0828889,0.920416,0.100096,-50.3684,-58.48,31.9913,-2.20469,0.474281,-0.238472,1.07837,26.7858,12.637
41,1516393910,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164822,0.677534,0.679136,-0.22925,0.0998089,-0.0660119,-0.11157,1,0.599963,0.00638979,0.599309,0.00182043,0.0045209,-0.156216,0.978209,0.136688,-19.5284,-62.6922,23.2613,0.368895,0.0828683,0.920341,0.100114,-50.4508,-58.48,31.9705,-2.20469,0.474281,-0.238472,1.07837,26.7858,12.637
42,1516393920,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.16528,0.677855,0.678869,-0.22876,0.0998385,-0.0659899,-0.111571,1,0.599963,0.00699233,0.599309,0.0013384,0.00446277,-0.156461,0.978089,0.137263,-19.5284,-62.6922,23.2613,0.36844,0.0832794,0.920496,0.100022,-50.4508,-58.48,31.9705,-2.20469,0.474281,-0.238472,1.07837,26.7858,12.637
43,1516393931,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.166366,0.678642,0.678186,-0.227664,0.0998777,-0.0659508,-0.111576,1,0.599963,0.00667098,0.599309,0.00121789,0.0049093,-0.157078,0.977924,0.137721,-19.5284,-62.6922,23.2613,0.368895,0.0828683,0.920341,0.100114,-50.4508,-58.48,31.9705,-2.20469,0.474281,-0.238472,1.07837,26.7858,12.637
44,1516393961,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.169694,0.681136,0.675884,-0.224586,0.0999449,-0.0659063,-0.111571,1,0.599963,0.00586758,0.599473,0.000976871,0.0043465,-0.156951,0.977849,0.138413,-19.5271,-62.6393,23.2485,0.368247,0.0831282,0.920654,0.0993943,-50.3684,-58.48,31.9913,-2.20729,0.368538,-0.212898,1.07837,26.7858,12.637
45,1516393971,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.175953,0.687476,0.669568,-0.219307,0.100035,-0.0658934,-0.111532,1,0.599963,0.00711284,0.598983,0.00101704,0.0043465,-0.156951,0.977849,0.138413,-19.5271,-62.6393,23.2485,0.368705,0.0828889,0.920416,0.100096,-50.3684,-58.48,31.9913,-2.20729,0.368538,-0.212898,1.07837,26.7858,12.637
46,1516393997,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.181174,0.694344,0.66251,-0.214809,0.100097,-0.0659144,-0.111486,1,0.599963,0.0061086,0.599799,-0.000188049,0.00428837,-0.157196,0.977729,0.138988,-19.5271,-62.6393,23.2485,0.367679,0.0831895,0.920881,0.099343,-50.1212,-58.48,32.0533,-2.20729,0.368538,-0.212898,1.07837,26.7858,12.637
47,1516394025,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.187813,0.707491,0.649485,-0.205797,0.100171,-0.0659497,-0.111418,1,0.599963,0.00659064,0.599473,0.000454666,0.00479253,-0.157569,0.977683,0.13887,-19.5271,-62.6393,23.2485,0.367111,0.0832508,0.921108,0.0992917,-49.874,-58.48,32.1149,-2.20729,0.368538,-0.212898,1.07837,26.7858,12.637
48,1516394041,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.190987,0.717179,0.640012,-0.198904,0.1002,-0.0659721,-0.111381,1,0.599963,0.00663081,0.599309,0.000856362,0.00479253,-0.157569,0.977683,0.13887,-19.5271,-62.6393,23.2485,0.365708,0.0837633,0.921639,0.0991131,-49.459,-58.4268,32.2061,-2.20729,0.368538,-0.212898,1.07837,26.7858,12.637
49,1516394050,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.192498,0.723506,0.63382,-0.194307,0.100209,-0.0659851,-0.111361,1,0.599963,0.00695216,0.599636,0.000414496,0.00476326,-0.157833,0.97753,0.139643,-19.5222,-62.665,23.2008,0.364993,0.0837897,0.92197,0.0986439,-49.1449,-58.2583,32.3518,-2.21701,0.419884,-0.117607,1.07837,26.7858,12.637
50,1516394077,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.194479,0.736458,0.62104,-0.184706,0.100206,-0.0660061,-0.111326,1,0.599963,0.00671115,0.599309,0.000776023,0.00479237,-0.157852,0.977499,0.139842,-19.5174,-62.6906,23.1532,0.36271,0.0835418,0.923017,0.0974793,-47.9418,-57.7836,32.8012,-2.22672,0.471184,-0.0222931,1.07837,26.7858,12.637
51,1516394080,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.194942,0.742151,0.615357,-0.180403,0.100195,-0.0660129,-0.111313,1,0.599963,0.00622911,0.599473,0.00109738,0.0047632,-0.158117,0.977345,0.140615,-19.5125,-62.7163,23.1055,0.36271,0.0835418,0.923017,0.0974793,-47.9418,-57.7836,32.8012,-2.23643,0.522446,0.0730362,1.07837,26.7858,12.637
52,1516394090,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.195173,0.748046,0.609416,-0.175915,0.100177,-0.0660183,-0.111299,1,0.599963,0.00574707,0.599473,-0.000228218,0.00473411,-0.158381,0.977191,0.141387,-19.5077,-62.7419,23.0578,0.362504,0.0828117,0.923176,0.0973664,-47.445,-57.5397,32.9173,-2.24615,0.573677,0.168392,1.07837,26.7858,12.637
53,1516394112,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.19488,0.761338,0.59576,-0.165696,0.100117,-0.0660246,-0.111271,1,0.599963,0.00687182,0.599473,0.000454666,0.00523794,-0.159037,0.976958,0.14224,-19.498,-62.793,22.9624,0.363592,0.0806659,0.9231,0.0958144,-46.6614,-57.0335,33.3027,-2.26559,0.676003,0.359161,1.07837,26.7858,12.637
54,1516394118,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.194365,0.767844,0.588914,-0.160679,0.100079,-0.0660246,-0.111256,1,0.599963,0.00667098,0.599309,0.000655514,0.00455515,-0.159374,0.976838,0.142712,-19.498,-62.793,22.9624,0.363688,0.0802643,0.923111,0.0956774,-46.5003,-56.8959,33.3615,-2.26559,0.676003,0.359161,1.07837,26.7858,12.637
55,1516394131,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.19334,0.776465,0.579664,-0.153984,0.100024,-0.0660226,-0.111239,1,0.599963,0.00659064,0.599636,1.27995e-05,0.0047054,-0.158929,0.976849,0.14313,-19.4931,-62.8186,22.9147,0.363801,0.0781095,0.923356,0.0946635,-45.8065,-56.3578,33.7661,-2.26559,0.676003,0.359161,1.07837,26.7858,12.637
56,1516394153,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.190705,0.790904,0.563701,-0.142632,0.0999091,-0.0660081,-0.111207,1,0.599963,0.00630945,0.599473,1.27995e-05,0.00520923,-0.159585,0.976614,0.143983,-19.4834,-62.8696,22.8193,0.364515,0.075973,0.923381,0.0934062,-45.1171,-55.7343,34.1984,-2.29477,0.829208,0.64547,1.07837,26.7858,12.637
57,1516394159,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.190705,0.790904,0.563701,-0.142632,0.0999091,-0.0660081,-0.111207,1,0.599963,0.00630945,0.599473,1.27995e-05,0.00461439,-0.159697,0.976584,0.144079,-19.4785,-62.8951,22.7716,0.364626,0.0755352,0.923407,0.0930727,-44.9644,-55.565,34.2982,-2.29477,0.829208,0.64547,1.07837,26.7858,12.637
58,1516394171,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.189343,0.796927,0.556821,-0.137864,0.0998541,-0.0659981,-0.111193,1,0.599963,0.00647013,0.599473,0.000253817,0.00461439,-0.159697,0.976584,0.144079,-19.4785,-62.8951,22.7716,0.364369,0.074307,0.923693,0.0922282,-44.2483,-55.1415,34.6198,-2.3045,0.880203,0.740948,1.07837,26.7858,12.637
59,1516394192,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.184397,0.817438,0.531949,-0.121747,0.0996045,-0.065934,-0.111116,1,0.599963,0.00594792,0.599473,-0.000388897,0.00529875,-0.16021,0.976134,0.146517,-19.4493,-63.0477,22.4849,0.363576,0.073238,0.924157,0.0915543,-43.2926,-54.5482,35.0538,-2.34345,1.08377,1.12306,1.07837,26.7858,12.637
60,1516394200,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.184397,0.817438,0.531949,-0.121747,0.0996045,-0.065934,-0.111116,1,0.599963,0.00699233,0.599473,0.000494835,0.00529875,-0.16021,0.976134,0.146517,-19.4493,-63.0477,22.4849,0.363665,0.0728282,0.924167,0.0914238,-43.1319,-54.4634,35.1203,-2.36293,1.18532,1.31424,1.07837,26.7858,12.637
61,1516394210,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.180601,0.83228,0.512391,-0.110221,0.0993415,-0.0658484,-0.111024,1,0.599963,0.00699233,0.599309,0.000213648,0.00535979,-0.160815,0.975681,0.148851,-19.42,-63.1996,22.1979,0.363,0.0718321,0.924512,0.0913712,-42.2368,-54.124,35.4372,-2.40193,1.38795,1.69685,1.07837,26.7858,12.637
