frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
14,1516772428,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000720239,0.599963,0.00121789,-0.088445,-0.14517,0.956692,0.236312,5.64208,-71.2662,-3.10046,0.241947,-0.0690865,0.944956,0.209157,-32.6766,-65.7543,14.5262,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
15,1516772434,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000278373,0.599963,0.00121789,-0.088445,-0.14517,0.956692,0.236312,5.64208,-71.2662,-3.10046,0.241947,-0.0690865,0.944956,0.209157,-32.6766,-65.7543,14.5262,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
16,1516772459,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.599963,0.000856362,-0.0872853,-0.145332,0.956775,0.236306,5.64208,-71.2662,-3.10046,0.241947,-0.0690865,0.944956,0.209157,-32.6766,-65.7543,14.5262,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
17,1516772472,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000880918,0.599963,0.00125806,-0.0880781,-0.14521,0.956878,0.235671,5.71003,-71.2662,-3.10279,0.241947,-0.0690865,0.944956,0.209157,-32.6766,-65.7543,14.5262,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
18,1516772483,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,2.81447e-06,0.599963,0.00149908,-0.0874665,-0.14506,0.956934,0.235764,5.71003,-71.2662,-3.10279,0.241947,-0.0690865,0.944956,0.209157,-32.6743,-65.7014,14.5134,0.401518,1.08195,-0.186757,6.98589,18.4802,1.15077
19,1516772508,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.000284002,0.599963,0.00117772,-0.0880781,-0.14521,0.956878,0.235671,5.71003,-71.2662,-3.10279,0.241941,-0.0691011,0.945,0.208959,-32.683,-65.6785,14.5619,0.401518,1.08195,-0.186757,6.98589,18.4802,1.15077
20,1516772513,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000840748,0.599963,0.000494835,-0.0880627,-0.144986,0.957054,0.235099,5.71003,-71.2662,-3.10279,0.241941,-0.0691011,0.945,0.208959,-32.683,-65.6785,14.5619,0.401518,1.08195,-0.186757,6.98589,18.4802,1.15077
21,1516772523,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.0006399,0.599963,0.00129823,-0.0875141,-0.145298,0.957081,0.235001,5.71003,-71.2662,-3.10279,0.241941,-0.0691011,0.945,0.208959,-32.683,-65.6785,14.5619,0.401518,1.08195,-0.186757,6.98589,18.4802,1.15077
22,1516772560,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000358712,0.599963,0.00117772,-0.0882595,-0.144938,0.957036,0.235129,5.77798,-71.2662,-3.10515,0.241934,-0.0691158,0.945045,0.208761,-32.6893,-65.6027,14.5976,0.265619,1.08195,-0.182033,6.98589,18.4802,1.15077
23,1516772580,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.599963,0.00137857,-0.0877109,-0.14525,0.957063,0.23503,5.77798,-71.2662,-3.10515,0.241934,-0.0691158,0.945045,0.208761,-32.6871,-65.5499,14.5847,0.265619,1.08195,-0.182033,6.98589,18.4802,1.15077
24,1516772585,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.000324172,0.599963,0.00105721,-0.0882595,-0.144938,0.957036,0.235129,5.77798,-71.2662,-3.10515,0.241934,-0.0691158,0.945045,0.208761,-32.6871,-65.5499,14.5847,0.265619,1.08195,-0.182033,6.98589,18.4802,1.15077
25,1516772597,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-3.73552e-05,0.599963,0.00117772,-0.0879076,-0.145201,0.957045,0.23506,5.84592,-71.2662,-3.10754,0.241928,-0.0691304,0.945089,0.208563,-32.6957,-65.5269,14.6332,0.265619,1.08195,-0.182033,6.98589,18.4802,1.15077
26,1516772606,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000921087,0.599963,0.000976871,-0.0884562,-0.14489,0.957018,0.235159,5.84592,-71.2662,-3.10754,0.241928,-0.0691304,0.945089,0.208563,-32.6934,-65.4741,14.6204,0.129724,1.08195,-0.177253,6.98589,18.4802,1.15077
27,1516772626,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000358712,0.599963,0.00101704,-0.0881044,-0.145153,0.957027,0.23509,5.91387,-71.2662,-3.10996,0.241439,-0.0687465,0.945238,0.208583,-32.6911,-65.4212,14.6075,-0.00617027,1.08195,-0.172418,6.98589,18.4802,1.15077
